recruit,ranking,high.school,position,score,year
Adem Bona,17,"Prolific Prep (Napa, CA)",C,98,2022
Arterio Morris,18,"Kimball (Dallas, TX)",PG,98,2022
Julian Phillips,19,"Link Academy (Branson, MO)",SF,98,2022
Jordan Walsh,20,"Link Academy (Cedar Hill, TX)",SF,98,2022
Gradey Dick,21,"Sunrise Christian Academy (Wichita, KS)",SF,98,2022
JJ Starling,22,"La Lumiere School (Baldwinsville, NY)",CG,98,2022
Tyrese Proctor,23,"NBA Global Academy (Australia, AUST)",PG,98,2022
Yohan Traore,24,"Dream City Christian (France, FRAN)",C,98,2022
Kylan Boswell,25,"Compass Prep (Chandler, AZ)",PG,98,2022
Jalen Hood-Schifino,26,"Montverde Academy (Montverde, FL)",CG,97,2022
Jaden Bradley,27,"IMG Academy (Bradenton, FL)",PG,97,2022
Vincent Iwuchukwu,28,"SoCal Academy (Castaic, CA)",C,97,2022
Leonard Miller,29,"Fort Erie International Academy (Fort Erie, ON)",SF,97,2022
Seth Trimble,30,"Menomonee Falls (Menomonee Falls, WI)",PG,97,2022
Terrance Arceneaux,31,"Beaumont United (Beaumont, TX)",SF,97,2022
Ernest Udeh Jr.,32,"Dr. Phillips (Orlando, FL)",C,97,2022
Collin Chandler,33,"Farmington (Farmington, UT)",CG,97,2022
Skyy Clark,34,"Montverde Academy (Montverde, FL)",PG,97,2022
Tre White,35,"Prolific Prep (Napa, CA)",SF,97,2022
Henri Veesaar,36,"Estonia (Estonia, ESTO)",C,97,2022
MJ Rice,37,"Prolific Prep (Napa, CA)",SF,97,2022
Malik Reneau,38,"Montverde Academy (Montverde, FL)",PF,97,2022
Ugonna Onyenso,39,"Putnam Science Academy (Putnam, CT)",C,97,2022
Tarris Reed Jr.,40,"Link Academy (Branson, MO)",C,96,2022
Tyrell Ward,41,"DeMatha Catholic (Hyattsville, MD)",SF,96,2022
Dylan Andrews,42,"Compass Prep (Chandler, AZ)",PG,96,2022
Rylan Griffen,43,"Richardson (Richardson, TX)",SG,96,2022
Chance Westry,44,"Compass Prep (Chandler, AZ)",SF,96,2022
Jett Howard,45,"IMG Academy (Bradenton, FL)",SF,96,2022
Freddie Dilione,46,"Word Of God Christian Academy (Raleigh, NC)",CG,96,2022
Zuby Ejiofor,47,"Garland (Garland, TX)",PF,96,2022
Isaiah Miranda,48,"SoCal Academy (Castaic, CA)",C,96,2022
Baba Miller,49,"Spain (Spain, SPAI)",C,95,2022
Roddy Gayle Jr.,50,"Wasatch Academy (Mount Pleasant, UT)",SG,95,2022
Jayden Epps,51,"Combine Academy (Charlotte, NC)",CG,95,2022
Isaac McKneely,52,"Poca (Poca, WV)",CG,95,2022
Dior Johnson,53,"SoCal Academy (Castaic, CA)",PG,95,2022
Bruce Thornton,54,"Milton (Alpharetta, GA)",PG,95,2022
